epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5333,2.65284,5.13949,3.2453,0.00073,0.05,0.00048,9e-05,3.61187,4.9797,3.44249,0,0,0
2,45.5358,3.24154,5.35278,3.19516,0.00067,0.03333,0.00062,0.00012,3.61263,5.11961,3.39522,7.973e-07,7.973e-07,7.973e-07
3,69.3234,2.89018,5.38218,3.33491,0.00124,0.03333,0.00087,0.00021,3.30194,4.98278,3.1698,8.092e-07,8.092e-07,8.092e-07
